date,holiday,holiday_type
2023-03-30,Ram Navami,Gazetted
2023-04-04,Mahavir Jayanti,Gazetted
2023-04-07,Good Friday,Gazetted
2023-04-09,Easter Day,Restricted
2023-04-21,Jamat Ul-Vida,Restricted
2023-04-23,Idu'l Fitr,Gazetted
2023-05-05,Buddha Purnima,Gazetted
2023-05-09,Guru Rabindranath's birthday,Restricted
2023-06-20,Rath Yatra,Restricted
2023-06-29,Id-ul-Zuha(Bakrid),Gazetted
2023-07-29,Muharram,Gazetted
2023-08-15,Independence Day,Gazetted
2023-08-16,Parsi New Year's day,Restricted
2023-08-31,Raksha Bandhan(Rakhi),Restricted
2023-09-07,Janmashtami,Gazetted
2023-09-19,Vinayaka Chaturthi /Ganesh Chaturthi,Restricted
2023-08-28,Onam or Thiru onam day,Restricted
2023-10-02,Mahatma Gandhi Jayanti,Gazetted
2023-10-22,Dussehra (Maha Ashtami),Restricted
2023-10-23,Dussehra (Maha Navmi),Restricted
2023-10-24,Dussehra,Gazetted
2023-10-27,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted
2023-10-31,Karaka Chaturthi (Karva Chouth),Restricted
2023-11-12,Diwali (Deepavali),Gazetted
2023-11-13,Govardhan Puja,Restricted
2023-11-14,Bhai Duj,Restricted
2023-11-19,Pratihar Sashthi or Surya Sashthi (Chhat Puja),Restricted
2023-11-27,Guru Nanak's Birthday,Gazetted
2023-12-17,Guru Teg Bahadur's Martyrdom Day,Restricted
2023-12-24,Christmas Eve,Restricted
2023-12-25,Christmas Day,Gazetted
2024-01-01,New Year's Day,Restricted
2024-01-13,Lohri,Restricted
2024-01-14,Makar Sankranti / Pongal,Restricted
2024-01-17,Guru Govind Singh's Birthday,Restricted
2024-01-26,Republic Day,Gazetted
2024-02-14,Vasant Panchami/Sri Panchami,Restricted
2024-02-19,Shivaji Jayanti,Restricted
2024-02-24,Guru Ravidas's Birthday,Restricted
2024-03-05,Swami Dayananda Saraswati Jayanti,Restricted
2024-03-08,Maha Shivaratri,Restricted
2024-03-24,Holika Dahana,Restricted
2024-03-25,Holi,Gazetted
2024-03-29,Good Friday,Gazetted
2024-03-31,Easter Day,Restricted
2024-04-05,Jumat-ul-Wida,Restricted
2024-04-10,Idul Fitr,Gazetted
2024-04-17,Ram Navami,Gazetted
