State,Date,Hourly Demand Met (in MW)
Delhi - 2017,16-Jan 8am,3445.80
Delhi - 2017,16-Jan 9am,3661.21
Delhi - 2017,16-Jan 10am,3751.28
Delhi - 2017,16-Jan 11am,3631.88
Delhi - 2017,16-Jan 12pm,3330.34
Delhi - 2017,16-Jan 1pm,3011.31
Delhi - 2017,16-Jan 2pm,2910.19
Delhi - 2017,16-Jan 3pm,2946.65
Delhi - 2017,16-Jan 4pm,2957.08
Delhi - 2017,16-Jan 5pm,3121.65
Delhi - 2017,16-Jan 6pm,3391.10
Delhi - 2017,16-Jan 7pm,3412.35
Delhi - 2017,16-Jan 8pm,3264.28
Delhi - 2017,16-Jan 9pm,2989.06
Delhi - 2017,16-Jan 10pm,2649.65
Delhi - 2017,16-Jan 11pm,2281.54
Delhi - 2017,17-Jan 12am,1908.68
Delhi - 2017,17-Jan 1am,1719.11
Delhi - 2017,17-Jan 2am,1631.32
Delhi - 2017,17-Jan 3am,1590.89
Delhi - 2017,17-Jan 4am,1655.08
Delhi - 2017,17-Jan 5am,1994.67
Delhi - 2017,17-Jan 6am,2806.49
Delhi - 2017,17-Jan 7am,3407.37
Delhi - 2017,17-Jan 8am,3767.27
Delhi - 2017,17-Jan 9am,3938.83
Delhi - 2017,17-Jan 10am,4058.84
Delhi - 2017,17-Jan 11am,3935.42
Delhi - 2017,17-Jan 12pm,3654.88
Delhi - 2017,17-Jan 1pm,3257.79
Delhi - 2017,17-Jan 2pm,3186.35
Delhi - 2017,17-Jan 3pm,3161.63
Delhi - 2017,17-Jan 4pm,3143.52
Delhi - 2017,17-Jan 5pm,3277.22
Delhi - 2017,17-Jan 6pm,3584.61
Delhi - 2017,17-Jan 7pm,3550.82
Delhi - 2017,17-Jan 8pm,3361.47
Delhi - 2017,17-Jan 9pm,3097.86
Delhi - 2017,17-Jan 10pm,2741.93
Delhi - 2017,17-Jan 11pm,2289.25
Delhi - 2017,18-Jan 12am,1931.99
Delhi - 2017,18-Jan 1am,1738.28
Delhi - 2017,18-Jan 2am,1657.45
Delhi - 2017,18-Jan 3am,1616.17
Delhi - 2017,18-Jan 4am,1685.10
Delhi - 2017,18-Jan 5am,2021.64
Delhi - 2017,18-Jan 6am,2860.72
Delhi - 2017,18-Jan 7am,3579.11
Delhi - 2017,18-Jan 8am,3841.68
Delhi - 2017,18-Jan 9am,3975.86
Delhi - 2017,18-Jan 10am,4086.79
Delhi - 2017,18-Jan 11am,3941.43
Delhi - 2017,18-Jan 12pm,3663.17
Delhi - 2017,18-Jan 1pm,3302.89
Delhi - 2017,18-Jan 2pm,3171.06
Delhi - 2017,18-Jan 3pm,3122.53
Delhi - 2017,18-Jan 4pm,3083.79
Delhi - 2017,18-Jan 5pm,3229.84
Delhi - 2017,18-Jan 6pm,3524.11
Delhi - 2017,18-Jan 7pm,3529.88
Delhi - 2017,18-Jan 8pm,3334.58
Delhi - 2017,18-Jan 9pm,3091.35
Delhi - 2017,18-Jan 10pm,2737.92
Delhi - 2017,18-Jan 11pm,2320.22
Delhi - 2017,19-Jan 12am,1965.67
Delhi - 2017,19-Jan 1am,1763.17
Delhi - 2017,19-Jan 2am,1678.62
Delhi - 2017,19-Jan 3am,1649.02
Delhi - 2017,19-Jan 4am,1703.11
Delhi - 2017,19-Jan 5am,2008.13
Delhi - 2017,19-Jan 6am,2815.68
Delhi - 2017,19-Jan 7am,3530.27
Delhi - 2017,19-Jan 8am,3761.89
Delhi - 2017,19-Jan 9am,3894.91
Delhi - 2017,19-Jan 10am,4024.27
Delhi - 2017,19-Jan 11am,3866.69
Delhi - 2017,19-Jan 12pm,3574.20
Delhi - 2017,19-Jan 1pm,3196.25
Delhi - 2017,19-Jan 2pm,3126.07
Delhi - 2017,19-Jan 3pm,3091.38
Delhi - 2017,19-Jan 4pm,3061.89
Delhi - 2017,19-Jan 5pm,3208.90
Delhi - 2017,19-Jan 6pm,3501.47
Delhi - 2017,19-Jan 7pm,3510.35
Delhi - 2017,19-Jan 8pm,3334.20
Delhi - 2017,19-Jan 9pm,3072.43
Delhi - 2017,19-Jan 10pm,2763.90
Delhi - 2017,19-Jan 11pm,2309.34
Delhi - 2017,20-Jan 12am,1955.31
Delhi - 2017,20-Jan 1am,1774.48
Delhi - 2017,20-Jan 2am,1696.50
Delhi - 2017,20-Jan 3am,1663.72
Delhi - 2017,20-Jan 4am,1719.34
Delhi - 2017,20-Jan 5am,2046.40
Delhi - 2017,20-Jan 6am,2939.20
Delhi - 2017,20-Jan 7am,3602.51
Delhi - 2017,20-Jan 8am,3838.16
Delhi - 2017,20-Jan 9am,3994.58
Delhi - 2017,20-Jan 10am,4192.90
Delhi - 2017,20-Jan 11am,4007.05
Delhi - 2017,20-Jan 12pm,3742.21
Delhi - 2017,20-Jan 1pm,3290.93
Delhi - 2017,20-Jan 2pm,3184.44
Delhi - 2017,20-Jan 3pm,3143.27
Delhi - 2017,20-Jan 4pm,3100.24
Delhi - 2017,20-Jan 5pm,3254.05
Delhi - 2017,20-Jan 6pm,3556.42
Delhi - 2017,20-Jan 7pm,3542.83
Delhi - 2017,20-Jan 8pm,3345.83
Delhi - 2017,20-Jan 9pm,3052.91
