State,Date,Hourly Demand Met (in MW)
Delhi - 2024,11-Jan 9pm,4102.95
Delhi - 2024,11-Jan 10pm,3773.13
Delhi - 2024,11-Jan 11pm,3191.01
Delhi - 2024,12-Jan 12am,2647.86
Delhi - 2024,12-Jan 1am,2305.45
Delhi - 2024,12-Jan 2am,2131.73
Delhi - 2024,12-Jan 3am,2070.67
Delhi - 2024,12-Jan 4am,2115.77
Delhi - 2024,12-Jan 5am,2481.05
Delhi - 2024,12-Jan 6am,3330.18
Delhi - 2024,12-Jan 7am,4241.47
Delhi - 2024,12-Jan 8am,4866.81
Delhi - 2024,12-Jan 9am,5292.24
Delhi - 2024,12-Jan 10am,5542.29
Delhi - 2024,12-Jan 11am,5507.56
Delhi - 2024,12-Jan 12pm,5263.18
Delhi - 2024,12-Jan 1pm,4663.62
Delhi - 2024,12-Jan 2pm,4372.61
Delhi - 2024,12-Jan 3pm,4158.85
Delhi - 2024,12-Jan 4pm,4033.59
Delhi - 2024,12-Jan 5pm,4203.80
Delhi - 2024,12-Jan 6pm,4423.37
Delhi - 2024,12-Jan 7pm,4347.73
Delhi - 2024,12-Jan 8pm,4165.70
Delhi - 2024,12-Jan 9pm,3943.04
Delhi - 2024,12-Jan 10pm,3635.51
Delhi - 2024,12-Jan 11pm,3057.66
Delhi - 2024,13-Jan 12am,2468.85
Delhi - 2024,13-Jan 1am,1977.98
Delhi - 2024,13-Jan 2am,1760.80
Delhi - 2024,13-Jan 3am,1682.34
Delhi - 2024,13-Jan 4am,1723.35
Delhi - 2024,13-Jan 5am,2010.96
Delhi - 2024,13-Jan 6am,2601.20
Delhi - 2024,13-Jan 7am,3552.30
Delhi - 2024,13-Jan 8am,4372.50
Delhi - 2024,13-Jan 9am,4773.32
Delhi - 2024,13-Jan 10am,5201.31
Delhi - 2024,13-Jan 11am,5161.05
Delhi - 2024,13-Jan 12pm,4949.90
Delhi - 2024,13-Jan 1pm,4462.17
Delhi - 2024,13-Jan 2pm,4260.99
Delhi - 2024,13-Jan 3pm,3999.85
Delhi - 2024,13-Jan 4pm,3880.35
Delhi - 2024,13-Jan 5pm,3938.77
Delhi - 2024,13-Jan 6pm,4218.30
Delhi - 2024,13-Jan 7pm,4108.97
Delhi - 2024,13-Jan 8pm,3889.91
Delhi - 2024,13-Jan 9pm,3705.01
Delhi - 2024,13-Jan 10pm,3424.97
Delhi - 2024,13-Jan 11pm,2938.65
Delhi - 2024,14-Jan 12am,2425.84
Delhi - 2024,14-Jan 1am,2083.54
Delhi - 2024,14-Jan 2am,1878.38
Delhi - 2024,14-Jan 3am,1786.62
Delhi - 2024,14-Jan 4am,1825.72
